,level_0,index,Health Facility Code Short_x,Facility Name,Old Health Facility Names,Old Health Facility Name 2,Health Facility Type,Ownership Major Classification,Ownership Sub-Classification for Government facilities,Ownership Sub-Classification for private facilities,Street Name and #           ,Building name and #,Region Name,Region PSGC,Province Name,Province PSGC,City/Municipality Name,City/Municipality PSGC,Barangay Name,Barangay PSGC,Zip Code,Official Website,Hospital Licensing Status,Service Capability,Bed Capacity,target,lat,lon,Health Facility Code Short_y
513,6353,355,4700,"ANGELES MEDICAL CENTER, INC.",,,Hospital,Private,,,641 RIZAL STREET,,REGION III (CENTRAL LUZON),30000000,PAMPANGA,35400000,ANGELES CITY,35401000,AGAPITO DEL ROSARIO,035401001,2009.0,,With License,Level 2,,1,15.141575,120.589309,66
514,6354,356,4704,PRES. RAMON MAGSAYSAY MEMORIAL HOSPITAL,,,Hospital,Government,Local Government Unit,,,,REGION III (CENTRAL LUZON),30000000,ZAMBALES,37100000,IBA (Capital),37105000,PALANGINAN (PALANGUINAN-TAMBAK),037105012,2201.0,,With License,Level 2,150.0,1,15.3163109,119.9914108,18
515,6358,360,4757,"PREMIERE GENERAL HOSPITAL OF NUEVA ECIJA, INC. BALER- AURORA",,,Hospital,Private,,,,,REGION III (CENTRAL LUZON),30000000,AURORA,37700000,BALER (Capital),37701000,SUCLAYIN,037701012,3200.0,,With License,Level 2,30.0,1,15.7533418,121.5438689,3
516,6361,363,4791,SAN MARCELINO DISTRICT HOSPITAL,,,Hospital,Government,Local Government Unit,,152 KM NATIONAL HIGHWAY,,REGION III (CENTRAL LUZON),30000000,ZAMBALES,37100000,SAN MARCELINO,37111000,,,2207.0,,With License,Level 1,89.0,1,14.9596538,120.1682216,18
518,6363,365,4830,MALOLOS SAN VICENTE HOSPITAL,,,Hospital,Private,,,,,REGION III (CENTRAL LUZON),30000000,BULACAN,31400000,CITY OF MALOLOS (Capital),31410000,CANIOGAN,031410020,3000.0,,With License,Level 1,12.0,1,14.8457143,120.8170081,87
520,6371,373,5060,IMMACULATE CONCEPCION POLYCLINIC AND HOSPITAL INC,,,Hospital,Private,,,,,REGION III (CENTRAL LUZON),30000000,TARLAC,36900000,CONCEPCION,36905000,GREEN VILLAGE,036905055,2316.0,,With License,Level 1,,1,15.3238398,120.6674421,30
521,6372,374,5078,EMMANUEL HOSPITAL,,,Hospital,Private,,,CAGAYAN VALLEY ROAD,,REGION III (CENTRAL LUZON),30000000,BULACAN,31400000,SAN MIGUEL,31421000,SAN JOSE,031421044,3011.0,,With License,Level 1,,1,15.1353407,120.9648411,87
522,6373,375,5085,ST. CATHERINE OF ALEXANDRIA FOUNDATION AND MEDICAL CENTER,,,Hospital,Private,,,4163 RIZAL EXTENSION,,REGION III (CENTRAL LUZON),30000000,PAMPANGA,35400000,ANGELES CITY,35401000,CUTCUT,035401007,2009.0,,With License,Level 2,40.0,1,15.13523,120.5852048,66
523,6374,376,5093,"V.L. MAKABALI MEMORIAL HOSPITAL, INC.",,,Hospital,Private,,,B. MENDOZA STREET,,REGION III (CENTRAL LUZON),30000000,PAMPANGA,35400000,CITY OF SAN FERNANDO (Capital),35416000,SANTO ROSARIO (POB.),035416021,2000.0,,With License,Level 2,97.0,1,15.0320186,120.6888467,66
525,6380,382,5170,"BATAAN WOMEN'S HOSPITAL, INC.",BATAAN WOMEN'S HOSPITAL,,Hospital,Private,,,"SAMPAGUITA STREET, SAINT JOSEPH SUBDIVISION",,REGION III (CENTRAL LUZON),30000000,BATAAN,30800000,CITY OF BALANGA (Capital),30803000,SAN JOSE,030803016,2100.0,,With License,Level 1,,1,14.6774498,120.5355907,17
526,6388,390,5417,OUR LADY OF MERCY GENERAL HOSPITAL INC.,,,Hospital,Private,,,DRT HIGHWAY,,REGION III (CENTRAL LUZON),30000000,BULACAN,31400000,PULILAN,31418000,LONGOS,031418010,3005.0,,With License,Level 2,30.0,1,14.8929519,120.867069,87
527,6390,392,5436,MELVERY MATERNITY AND GENERAL HOSPITAL,MELVEREY MATERNITY BAND GENERAL HOSPITAL,,Hospital,Private,,,"366 A. VERGEL DE DIOS STREET, SITIO LOOBAN",,REGION III (CENTRAL LUZON),30000000,BULACAN,31400000,PLARIDEL,31417000,TABANG,031417021,3004.0,,With License,Level 1,14.0,1,14.873087,120.861304,87
528,6393,395,5520,EVANGELISTA HOSPITAL, , ,Hospital,Private, , , , ,REGION III (CENTRAL LUZON),30000000,BULACAN,31400000,CITY OF MEYCAUAYAN,31412000,HULO,031412008,3020.0, ,Without License,0,,1,14.732859,120.958228,87
529,6395,397,5563,THE MEDICAL CITY - ANGELES,MERCEDES MEDICAL CENTER, ,Hospital,Private, , ,76 SANTO ENTIERRO STREET, ,REGION III (CENTRAL LUZON),30000000,PAMPANGA,35400000,ANGELES CITY,35401000,SANTO CRISTO,035401027,2009.0, ,Without License,0,,1,15.1783284,120.571874,66
530,6396,398,5565,"ST. PAUL HOSPITAL BULACAN, INC.",,,Hospital,Private,,,187 JP RIZAL STREET,,REGION III (CENTRAL LUZON),30000000,BULACAN,31400000,BOCAUE,31404000,BIÑANG 2ND,031404006,3018.0,,With License,Level 2,,1,14.7956673,120.9287922,87
531,6399,401,5617,"SACRED HEART HOSPITAL OF MALOLOS, INC.",,,Hospital,Private,,,DR. PERALTA STREET,,REGION III (CENTRAL LUZON),30000000,BULACAN,31400000,CITY OF MALOLOS (Capital),31410000,GUINHAWA,031410015,3000.0,,With License,Level 2,72.0,1,14.851569,120.8178056,87
532,6403,405,5661,SACRED HEART MEDICAL CENTER,,,Hospital,Private,,,MCARTHUR HIGHWAY,,REGION III (CENTRAL LUZON),30000000,PAMPANGA,35400000,ANGELES CITY,35401000,SANTO DOMINGO,035401028,2009.0,,With License,Level 2,75.0,1,15.1253971,120.5984473,66
533,6409,411,5718,HOLY TRINITY GENERAL HOSPITAL,HOLY TRINITY PLAZANG LUMA MEDICAL CLINIC,,Hospital,Private,,,,,REGION III (CENTRAL LUZON),30000000,PAMPANGA,35400000,ARAYAT,35403000,PLAZANG LUMA,035403017,2012.0,,With License,Level 1,,1,15.1570735,120.773561,66
534,6418,420,5935,SAN MIGUEL DISTRICT HOSPITAL,,,Hospital,Government,Local Government Unit,,,,REGION III (CENTRAL LUZON),30000000,BULACAN,31400000,SAN MIGUEL,31421000,SANTA RITA MATANDA,031421050,3011.0,,With License,Level 1,50.0,1,15.136635,120.965743,87
535,6419,421,5942,AURORA MEMORIAL HOSPITAL,,,Hospital,Government,Local Government Unit,,SAN LUIS STREET,,REGION III (CENTRAL LUZON),30000000,AURORA,37700000,BALER (Capital),37701000,RESERVA,037701010,3200.0,,With License,Level 1,49.0,1,15.80681,121.5419809,3
536,6420,422,5950,CAMP AQUINO STATION HOSPITAL,CAMP AQUINO ARMY STATION HOSPITAL,,Hospital,Government,Department of National Defense,,CAMP GEN. S. AQUINO,,REGION III (CENTRAL LUZON),30000000,TARLAC,36900000,CITY OF TARLAC (Capital),36916000,SAN MIGUEL,036916068,2300.0,,With License,Level 1,50.0,1,15.4467632,120.5883446,30
537,6421,423,5964,DIVINE WORD HOSPITAL,,,Hospital,Private,,,,,REGION III (CENTRAL LUZON),30000000,BULACAN,31400000,HAGONOY,31409000,SAN PEDRO,031409017,3002.0,,With License,Level 1,,1,14.839353,120.7521861,87
538,6422,424,5975,MARY IMMACULATE MATERNITY AND GENERAL HOSPITAL,MARY IMMACULATE MATERNITY HOSPITAL,,Hospital,Private,,,F.ESTRELLA STREET,,REGION III (CENTRAL LUZON),30000000,BULACAN,31400000,CITY OF MALOLOS (Capital),31410000,SANTO ROSARIO (POB.),031410050,3000.0,,With License,Level 1,20.0,1,14.8378279,120.8136601,87
540,6424,426,5978,"CASTRO MATERNITY HOSPITAL AND MEDICAL CENTER, INC.",CASTRO MATERNITY HOSPITAL,,Hospital,Private,,,M PONCE STREET,,REGION III (CENTRAL LUZON),30000000,BULACAN,31400000,BALIUAG,31403000,TIBAG,031403027,3006.0,,With License,Level 1,78.0,1,14.9578093,120.9036542,87
541,6425,427,5985,MT. CARMEL HOSPITAL MEDICAL CENTER OF BULACAN CORPORATION,,,Hospital,Private,,,MC ARTHUR HIGHWAY,,REGION III (CENTRAL LUZON),30000000,BULACAN,31400000,BOCAUE,31404000,BUNLO,031404009,3018.0,,With License,Level 1,,1,14.783872,120.933026,87
542,6426,428,5986,NAZARENUS COLLEGE FOUNDATION HOSPITAL,,,Hospital,Private,,,133 MC ARTHUR HIGHWAY,,REGION III (CENTRAL LUZON),30000000,BULACAN,31400000,CITY OF MEYCAUAYAN,31412000,SALUYSOY,031412021,3020.0,,With License,Level 2,100.0,1,14.7515224,120.9552293,87
544,6443,445,6491,OSPITAL NING CAPAS,,,Hospital,Government,Local Government Unit,,MUNICIPAL COMPOUND,,REGION III (CENTRAL LUZON),30000000,TARLAC,36900000,CAPAS,36904000,SANTO DOMINGO 2ND,036904020,2315.0,,With License,Level 1,16.0,1,15.3457485,120.5923067,30
545,6444,446,6495,CLARK CENTRAL MEDICAL CENTER, , ,Hospital,Private, , ,TTE BLDG. FRIENDSHIP HI-WAY, ,REGION III (CENTRAL LUZON),30000000,PAMPANGA,35400000,ANGELES CITY,35401000,ANUNAS,035401002,2009.0, ,Without License,0,,1,15.166855,120.583804,66
546,6449,451,6686,CANDELARIA DISTRICT HOSPITAL,,,Hospital,Government,Local Government Unit,,PUROK 3,,REGION III (CENTRAL LUZON),30000000,ZAMBALES,37100000,CANDELARIA,37103000,YAMOT,037103019,2212.0,,With License,Level 1,50.0,1,13.92998,121.4206463,18
547,6450,452,6687,CLINICA HENSON,,,Hospital,Private,,,66 MC ARTHUR HIGHWAY,,REGION III (CENTRAL LUZON),30000000,PAMPANGA,35400000,ANGELES CITY,35401000,VIRGEN DELOS REMEDIOS,035401034,2009.0,,With License,Level 1,,1,15.1511116,120.5923932,66
548,6451,453,6688,CENTRAL LUZON DOCTORS HOSPITAL,,,Hospital,Private,,,HOSPITAL DRIVE,,REGION III (CENTRAL LUZON),30000000,TARLAC,36900000,CITY OF TARLAC (Capital),36916000,SAN VICENTE,036916075,2300.0,,With License,Level 3,,1,15.4781792,120.5869477,30
549,6454,456,6709,ST. VINCENT EENT HOSPITAL, , ,Hospital,Private, , ,SANTO NIÑO STREET, ,REGION III (CENTRAL LUZON),30000000,BULACAN,31400000,BUSTOS,31406000,POBLACION,031406010,3007.0, ,With License,0,,1,14.956761,120.912464,87
550,6458,460,6812,ORION SAINT MICHAEL HOSPITAL,,,Hospital,Private,,,J.P. RIZAL STREET,,REGION III (CENTRAL LUZON),30000000,BATAAN,30800000,ORION,30810000,WAKAS (POB.),030810028,2102.0,,With License,Level 1,10.0,1,14.620072,120.57796,17
551,6462,464,6858,BALIUAG DISTRICT HOSPITAL,,,Hospital,Government,Local Government Unit,,CARPA VILAGE,,REGION III (CENTRAL LUZON),30000000,BULACAN,31400000,BALIUAG,31403000,SABANG,031403016,3006.0,,With License,Level 1,75.0,1,14.96989,120.913358,87
552,6463,465,6865,MOTHER AND CHILD HOSPITAL,MOTHER AND CHILD GENERAL HOSPITAL,,Hospital,Private,,,75 KESSING STREET,,REGION III (CENTRAL LUZON),30000000,ZAMBALES,37100000,OLONGAPO CITY,37107000,ASINAN,037107001,2200.0,,With License,Level 1,18.0,1,14.830226,120.286911,18
553,6464,466,6868,MARCELO-PADILLA CHILDREN'S MEDICAL HOSPITAL,,,Hospital,Private,,,,,REGION III (CENTRAL LUZON),30000000,BULACAN,31400000,PLARIDEL,31417000,BANGA I,031417003,3004.0,,With License,Level 2,37.0,1,14.8886421,120.8667929,87
554,6465,467,6869,GERONA HOSPITAL OF THE SACRED HEART,,,Hospital,Private,,,PUROK LIGTASAN,,REGION III (CENTRAL LUZON),30000000,TARLAC,36900000,GERONA,36906000,ABAGON,036906001,2302.0,,With License,Level 1,,1,15.6083695,120.6053889,30
555,6466,468,6870,JOWELL GENERAL HOSPITAL,,,Hospital,Private,,,1 MAGALLANES STREET,,REGION III (CENTRAL LUZON),30000000,TARLAC,36900000,PANIQUI,36910000,CORAL,036910014,2307.0,,With License,Level 1,,1,15.6627509,120.5757032,30
556,6473,475,23616,MEYCAUAYAN DOCTORS HOSPITAL INC.,,,Hospital,Private,,,"KM.18, MC ARTHUR HIGHWAY",,REGION III (CENTRAL LUZON),30000000,BULACAN,31400000,CITY OF MEYCAUAYAN,31412000,BANGA,031412004,3020.0,,With License,Level 2,80.0,1,14.7498856,120.9739288,87
557,6474,476,7011,PAMPANGA EENT AND GENERAL HOSPITAL,,,Hospital,Private,,,,,REGION III (CENTRAL LUZON),30000000,PAMPANGA,35400000,CITY OF SAN FERNANDO (Capital),35416000,SAN NICOLAS,035416030,2000.0,,With License,Level 1,15.0,1,15.0213419,120.6994714,66
559,6476,478,7031,"MARILAO ST. MICHAEL FAMILY HOSPITAL, INC.",ST. MICHAEL FAMILY HOSPITAL,,Hospital,Private,,,C. SANTIAGO STREET,,REGION III (CENTRAL LUZON),30000000,BULACAN,31400000,MARILAO,31411000,POBLACION II,031411010,3019.0,,With License,Level 1,25.0,1,14.7609917,120.947811,87
560,6545,547,7484,RICARDO P. RODRIGUEZ MEMORIAL HOSPITAL,,,Hospital,Government,Local Government Unit,,BULAON RESETTLEMENT,,REGION III (CENTRAL LUZON),30000000,PAMPANGA,35400000,CITY OF SAN FERNANDO (Capital),35416000,BULAON,035416003,2000.0,,With License,Level 1,25.0,1,15.0812788,120.6616616,66
561,6546,548,7485,SAN JOSE CITY GENERAL HOSPITAL,,,Hospital,Government,Local Government Unit,,MAHARLIKA HIGHWAY,,REGION III (CENTRAL LUZON),30000000,NUEVA ECIJA,34900000,SAN JOSE CITY,34926000,MALASIN,034926012,3121.0,,With License,Level 1,50.0,1,15.807488,120.999896,37
563,6548,550,7492,DR. PERALTA HOSPITAL CO.,DR. PERALTA HOSPITAL,,Hospital,Private,,,1149 GOV. PADILLA ROAD,,REGION III (CENTRAL LUZON),30000000,BULACAN,31400000,PLARIDEL,31417000,POBLACION,031417015,3004.0,,With License,Level 1,,1,14.885914,120.858667,87
564,6551,553,7650,OFELIA L. MENDOZA MATERNITY AND GENERAL HOSPITAL,,,Hospital,Private,,,MOJON ROAD,,REGION III (CENTRAL LUZON),30000000,BULACAN,31400000,CITY OF MALOLOS (Capital),31410000,MOJON,031410034,3000.0,,With License,Level 1,18.0,1,14.8674009,120.8212487,87
565,6554,556,7694,OUR LADY OF LOURDES INTERNATIONAL MEDICAL CENTER,,,Hospital,Private,,,2 NATIONAL HI-WAY,,REGION III (CENTRAL LUZON),30000000,ZAMBALES,37100000,OLONGAPO CITY,37107000,BARRETO,037107003,2200.0,,With License,Level 2,99.0,1,14.8474256,120.2691867,18
566,6563,565,23749,MEXICO COMMUNITY HOSPITAL,,,Hospital,Government,Local Government Unit,,MEXICO-MAGALANG ROAD,,REGION III (CENTRAL LUZON),30000000,PAMPANGA,35400000,MEXICO,35413000,SAN CARLOS,035413027,2021.0,,With License,Level 1,50.0,1,15.0735575,120.7193676,66
567,6564,566,23754,OUR LADY OF MT. CARMEL MEDICAL CENTER - CLARK,,,Hospital,Private,,,"NINOY AQUINO AVENUE, CLARK SPECIAL ECONOMIC ZONE",,REGION III (CENTRAL LUZON),30000000,PAMPANGA,35400000,ANGELES CITY,35401000,,,2009.0,,With License,Level 2,50.0,1,15.182266,120.529828,66
569,6566,568,25676,GRACE GENERAL HOSPITAL,,,Hospital,Private,,,"BLOCK 1 LOT 2, QUIRINO HIGHWAY EXTENSION",,REGION III (CENTRAL LUZON),30000000,BULACAN,31400000,CITY OF SAN JOSE DEL MONTE,31420000,FRANCISCO HOMES-MULAWIN,031420028,3023.0,,With License,Level 1,,1,14.8060057,121.0682322,87
570,6567,569,25677,"GRAMAN MEDICAL AND MATERNITY HOSPITAL, INC.",,,Hospital,Private,,,,,REGION III (CENTRAL LUZON),30000000,BULACAN,31400000,CITY OF MALOLOS (Capital),31410000,DAKILA,031410014,3000.0,,With License,Level 1,,1,14.846471,120.8346,87
571,6568,570,25678,MATEO-MABBORANG GENERAL HOSPITAL,,,Hospital,Private,,,,,REGION III (CENTRAL LUZON),30000000,BULACAN,31400000,HAGONOY,31409000,SANTO NIÑO (POB.),031409023,3002.0,,With License,Level 1,23.0,1,14.8369808,120.7900555,87
572,6569,571,25679,LA CONSOLACION UNIVERSITY GENERAL HOSPITAL,PLARIDEL EMERGENCY HOSPITAL,,Hospital,Private,,,,,REGION III (CENTRAL LUZON),30000000,BULACAN,31400000,PLARIDEL,31417000,POBLACION,031417015,3004.0,,With License,Level 1,,1,14.8863619,120.8634346,87
573,6570,572,25680,RICARDO P. RODRIGUEZ MEMORIAL HOSPITAL (ANNEX SPECIALTY HOSPITAL),,,Hospital,Government,Local Government Unit,,,,REGION III (CENTRAL LUZON),30000000,PAMPANGA,35400000,BACOLOR,35404000,CABAMBANGAN (POB.),035404003,2001.0,,With License,Level 1,25.0,1,15.0812788,120.6616616,66
574,8107,2109,30719,KALINGA SA KAPWA HEALTHCARE CENTER,,,Hospital,Private,,,BONIFACIO STREET,,REGION III (CENTRAL LUZON),30000000,NUEVA ECIJA,34900000,GENERAL TINIO (PAPAYA),34910000,PADOLINA,034910004,3104.0,,Without License,0,,1,17.4740422,121.3541631,37
575,8226,2228,30838,"SAINT JOSEPH HOSPITAL OF REMEDIOS,  INC.",,,Hospital,Private,,,"O-G ROAD, CENTRO I",,REGION III (CENTRAL LUZON),30000000,PAMPANGA,35400000,LUBAO,35408000,REMEDIOS,035408012,2005.0,,With License,Level 1,50.0,1,14.9205512,120.5778288,66
576,8282,2284,30898,PANIQUI GENERAL HOSPITAL,LUIS TIRSO M. RIVILLA GENERAL HOSPITAL,,Hospital,Government,Local Government Unit,,KILOMETER 144,,REGION III (CENTRAL LUZON),30000000,TARLAC,36900000,PANIQUI,36910000,SAMPUT,036910028,2307.0,,With License,Level 1,24.0,1,15.653536,120.5856478,30
578,8328,2330,31552,ZAMBALES MEDICAL MISSION GROUP COOP HOSPITAL,,,Hospital,Private,,,,,REGION III (CENTRAL LUZON),30000000,ZAMBALES,37100000,OLONGAPO CITY,37107000,WEST BAJAC-BAJAC,037107019,2200.0,,With License,Level 1,24.0,1,14.842504,120.28517,18
579,8329,2331,31929,"ALLIED CARE EXPERTS (ACE) MEDICAL CENTER - BALIWAG, INC.",ALLIED CARE EXPERTS MEDICAL CENTER-BALIUAG,,Hospital,Private,,,LOT 2975 C-1 DOÑA REMEDIOS HIGHWAY,,REGION III (CENTRAL LUZON),30000000,BULACAN,31400000,BALIUAG,31403000,PINAGBARILAN,031403013,3006.0,,With License,Level 2,100.0,1,14.952737,120.884438,87
580,8330,2332,31937,"MARYMOUNT HOSPITAL, INC.",MARYMOUNT MATERNITY AND CHILDREN'S HOSPITAL,,Hospital,Private,,,C.P. SORIENTE BUILDING,,REGION III (CENTRAL LUZON),30000000,BULACAN,31400000,CITY OF MEYCAUAYAN,31412000,CAMALIG,031412007,3020.0,,With License,Level 2,100.0,1,14.7644667,120.9888241,87
582,8334,2336,32086,SKYLINE HOSPITAL AND MEDICAL CENTER,,,Hospital,Private,,,,,REGION III (CENTRAL LUZON),30000000,BULACAN,31400000,CITY OF SAN JOSE DEL MONTE,31420000,TUNGKONG MANGGA,031420011,,,With License,Level 2,100.0,1,14.7981886,121.0704776,87
583,8335,2337,32087,REINA DEL CIELO MATERNITY AND GENERAL HOSPITAL,REINA DEL CIELO HOSPITAL,,Hospital,Private,,,,,REGION III (CENTRAL LUZON),30000000,BULACAN,31400000,PLARIDEL,31417000,BANGA I,031417003,,,With License,Level 1,16.0,1,14.886936,120.866633,87
584,8336,2338,32088,"THE MEDICAL CITY CLARK, INC.",,,Hospital,Private,,,"100 GATWICK GATEWAY GLOBAL GATEWAY LOGISTICS CITY, CLARK FREEPORT ZONE",,REGION III (CENTRAL LUZON),30000000,PAMPANGA,35400000,MABALACAT CITY,35409000,,,2010.0,,With License,Level 2,100.0,1,15.1783284,120.571874,66
585,8337,2339,32089,ARAYAT DOCTORS HOSPITAL,,,Hospital,Private,,,OLONGAPO-GAPAN ROAD,,REGION III (CENTRAL LUZON),30000000,PAMPANGA,35400000,ARAYAT,35403000,MANGGA-CACUTUD,035403013,,,With License,Level 1,,1,15.1490459,120.7666432,66
586,8338,2340,32094,"FLORIDABLANCA DOCTORS HOSPITAL, INC.",,,Hospital,Private,,,,,REGION III (CENTRAL LUZON),30000000,PAMPANGA,35400000,FLORIDABLANCA,35406000,VALDEZ,035406033,,,With License,Level 2,,1,14.9867226,120.5482582,66
590,8501,2503,32434,M.S. MAGBITANG OSPITAL NG SAN ILDEFONSO,,,Hospital,Private,,,,,REGION III (CENTRAL LUZON),30000000,BULACAN,31400000,SAN ILDEFONSO,31419000,SAPANG PUTOL,031419033,,,With License,Level 1,17.0,1,15.0739987,120.9431393,87
600,8545,2547,34411,"PAMPANGA PREMIER MEDICAL CENTER, INC.",,,Hospital,Private,,,KILOMETER 55 MACARTHUR HIGHWAY,,REGION III (CENTRAL LUZON),30000000,PAMPANGA,35400000,APALIT,35402000,SAMPALOC,035402010,2016.0,,With License,Level 2,66.0,1,14.9602382,120.759132,66
602,8548,2550,34463,QUALIMED HEALTH NETWORK SJDM,,,Hospital,Private,,,ALTARAZA,,REGION III (CENTRAL LUZON),30000000,BULACAN,31400000,CITY OF SAN JOSE DEL MONTE,31420000,TUNGKONG MANGGA,031420011,3023.0,,,0,,1,14.7883528,121.07705,87
604,8625,2627,34700,"BRIGINO GENERAL HOSPITAL, INC.",SAN JOSE FAMILY CLINIC AND LYING -IN,,Hospital,Private,,,"20 QUIRINO HIGHWAY, PECSONVILLE SUBDIVISION",,REGION III (CENTRAL LUZON),30000000,BULACAN,31400000,CITY OF SAN JOSE DEL MONTE,31420000,TUNGKONG MANGGA,031420011,,,With License,Level 1,46.0,1,14.7854016,121.074577,87
606,8721,2723,35325,CAPAS MEDICAL CENTER,,,Hospital,Private,,,MCARTHUR HIGHWAY,,REGION III (CENTRAL LUZON),30000000,TARLAC,36900000,CAPAS,36904000,SANTO DOMINGO 2ND,036904020,,,With License,Level 2,50.0,1,15.350761,120.5930249,30
607,8756,2758,35379,DR. CABUCO HOSPITAL,,,Hospital,Private,,,,,REGION III (CENTRAL LUZON),30000000,BULACAN,31400000,SANTA MARIA,31423000,SAN JOSE PATAG,031423019,3022.0,,With License,Level 1,,1,14.8262214,120.9806457,87
610,8879,2881,37096,"LOVING MOTHER GENERAL HOSPITAL AND DIAGNOSTIC CENTER, INC.",,,Hospital,Private,,,F. TAÑEDO STREET,,REGION III (CENTRAL LUZON),30000000,TARLAC,36900000,CITY OF TARLAC (Capital),36916000,SAN NICOLAS,036916069,2300.0,,With License,Level 2,100.0,1,15.4928178,120.5933487,30
612,8892,2894,38005,GREEN CITY MEDICAL CENTER,,,Hospital,Private,,,JOSE ABAD SANTOS ROAD,,REGION III (CENTRAL LUZON),30000000,PAMPANGA,35400000,CITY OF SAN FERNANDO (Capital),35416000,DOLORES,035416010,2000.0,,With License,Level 2,100.0,1,15.0439989,120.6857664,66
613,8893,2895,38108,"CENTRO MEDICO DE SANTISIMO ROSARIO, INC.",,,Hospital,Private,,,ROMAN SUPER HIGHWAY,,REGION III (CENTRAL LUZON),30000000,BATAAN,30800000,CITY OF BALANGA (Capital),30803000,TENEJERO,030803021,,,With License,Level 2,100.0,1,14.6727568,120.5244826,17
614,8894,2896,38109,"PHILIPPINE REHABILITATION INSTITUTE (PRI) FOUNDATION, INC.",,,Hospital,Private,,,,,REGION III (CENTRAL LUZON),30000000,PAMPANGA,35400000,ANGELES CITY,35401000,PAMPANG,035401017,,,With License,Level 2,108.0,1,15.1483137,120.5768368,66
615,8895,2897,38153,OSPITAL NG LUNGSOD NG SAN JOSE,,,Hospital,Government,,,"A.O PASCUAL STREET, R. EUGENIO",,REGION III (CENTRAL LUZON),30000000,NUEVA ECIJA,34900000,SAN JOSE CITY,34926000,RAYMUNDO EUGENIO POB. (DISTRICT IV),034926022,3121.0,,With License,Level 1,23.0,1,15.7917068,120.9921343,37
616,8896,2898,38400,MARIVELES DISTRICT HOSPITAL,,,Hospital,Government,,,,,REGION III (CENTRAL LUZON),30000000,BATAAN,30800000,MARIVELES,30807000,,,,,With License,0,25.0,1,14.4378966,120.4984277,17
617,8897,2899,38401,"CONGRESSMAN ENRIQUE ""HENRY"" M. COJUANGCO MEMORIAL DISTRICT HOSPITAL",,,Hospital,Government,,,,,REGION III (CENTRAL LUZON),30000000,TARLAC,36900000,MONCADA,36909000,,,,,With License,Level 1,17.0,1,15.7325056,120.5726786,30
618,8898,2900,38402,ST. JOHN PAUL II MEDICAL CENTER CORP.,,,Hospital,Private,,,SITIO MANDANI,,REGION III (CENTRAL LUZON),30000000,PAMPANGA,35400000,MAGALANG,35411000,SAN ANTONIO,035411007,,,With License,Level 1,41.0,1,15.2440274,120.6551231,66
620,8900,2902,38497,NUEVA ECIJA MEDICS HOSPITAL,,,Hospital,Private,,,"J.P. RIZAL STREET, PUROK 7, JOSE ABAD SANTOS AVENUE",,REGION III (CENTRAL LUZON),30000000,NUEVA ECIJA,34900000,SAN ISIDRO,34925000,ALUA,034925001,,,With License,Level 1,29.0,1,15.3076728,120.8980255,37
621,8915,14,406,ARNAIZ HOSPITAL, , ,Hospital,Private, , ,F.P. FELIX AVENUE, ,REGION IV-A (CALABAR ZON),40000000,RIZAL,45800000,CAINTA,45805000,SAN ISIDRO,045805015,1900.0, ,Without License,0,,1,14.61272,121.102967,47
622,8916,15,409,ASIA MEDIC FAMILY HOSPITAL AND MEDICAL CENTER,,,Hospital,Private,,,OLD PALA-PALA ROAD,,REGION IV-A (CALABAR ZON),40000000,CAVITE,42100000,CITY OF DASMARI?AS,42106000,SAMPALOC I,042106013,4115.0,,With License,Level 1,77.0,1,14.2987762,120.9566082,75
623,8917,16,411,ASSUMPTA MEDICAL HOSPITAL, , ,Hospital,Private, , ,A. BONIFACIO STREET, ,REGION IV-A (CALABAR ZON),40000000,BATANGAS,41000000,TAAL,41029000, , ,4208.0, ,Without License,0,,1,13.88594,120.9418996,81
624,8918,17,412,DOÑA MARTA MEMORIAL DISTRICT HOSPITAL,,,Hospital,Government,Local Government Unit,,G. ORDA STREET,,REGION IV-A (CALABAR ZON),40000000,QUEZON,45600000,ATIMONAN,45603000,BARANGAY ZONE  2 (POB.),045603005,4331.0,,With License,Level 1,50.0,1,13.9985628,121.9224147,39
625,8919,18,418,BAGONG CAINTA MUNICIPAL HOSPITAL,CAINTA MUNICIPAL HOSPITAL,,Hospital,Government,Local Government Unit,,CAINTA MUNICIPAL COMPOUND,,REGION IV-A (CALABAR ZON),40000000,RIZAL,45800000,CAINTA,45805000,SANTO DOMINGO,045805020,1900.0,,With License,Level 1,42.0,1,14.5802965,121.1138887,47
626,8920,19,428,BAUAN DOCTORS GENERAL HOSPITAL,,,Hospital,Private,,,F. MANGOBOS STREET CORNER TAÑO ROAD,,REGION IV-A (CALABAR ZON),40000000,BATANGAS,41000000,BAUAN,41006000,BARANGAY  I (POB.),041006007,4201.0,,With License,Level 2,100.0,1,13.7953526,121.0014171,81
627,8921,20,439,CALAMBA MEDICAL CENTER,,,Hospital,Private,,,13 NATIONAL HIGHWAY,,REGION IV-A (CALABAR ZON),40000000,LAGUNA,43400000,CITY OF CALAMBA,43405000,REAL,043405049,4027.0,,With License,Level 2,122.0,1,14.2067498,121.1534709,63
629,8923,22,442,CARLOS MEDICAL AND MATERNITY HOSPITAL, , ,Hospital,Private, , ,911 MANILA EAST ROAD, ,REGION IV-A (CALABAR ZON),40000000,RIZAL,45800000,CARDONA,45806000,LOOC,045806014,1950.0, ,Without License,0,,1,14.4804464,121.2207346,47
